selected_index,filename,source_width,source_height,raw_prediction_path,raw_prediction_sha256,reconstruction_mask_path,reconstruction_mask_sha256,raw_foreground_fraction,reconstruction_foreground_fraction
1,IMG20260826122949.jpg,3072,4080,analysis/ml/full_predictions/001_IMG20260826122949_pred.png,537754e51891cf2621a11dc5cfbb8ba0e95c792e41a1b23a7f684b50d651d073,analysis/ml/reconstruction_masks/001_IMG20260826122949_mask.png,537754e51891cf2621a11dc5cfbb8ba0e95c792e41a1b23a7f684b50d651d073,0.307772926879085,0.307772926879085
2,IMG20260826122953.jpg,3072,4080,analysis/ml/full_predictions/002_IMG20260826122953_pred.png,6dad82645967c880862293877e15c688c570884197e3c8a47961196199702494,analysis/ml/reconstruction_masks/002_IMG20260826122953_mask.png,29dfe6478add389bf3bb8f3e36da5b9416db475d9ef0ec021ec07a45856e1a13,0.29884320427389705,0.28719769646139703
3,IMG20260826122956.jpg,3072,4080,analysis/ml/full_predictions/003_IMG20260826122956_pred.png,a316029ddb3560054633e9b21bbc4dd11c19e299b6253904ef3229b48bb46c35,analysis/ml/reconstruction_masks/003_IMG20260826122956_mask.png,a316029ddb3560054633e9b21bbc4dd11c19e299b6253904ef3229b48bb46c35,0.2998621323529412,0.2998621323529412
4,IMG20260826123000.jpg,3072,4080,analysis/ml/full_predictions/004_IMG20260826123000_pred.png,38bf0730f0242a80d67532bf8e1088b56a0958556f7af73e0c0713d684cd6bfe,analysis/ml/reconstruction_masks/004_IMG20260826123000_mask.png,38bf0730f0242a80d67532bf8e1088b56a0958556f7af73e0c0713d684cd6bfe,0.31515179802389703,0.31515179802389703
5,IMG20260826123004.jpg,3072,4080,analysis/ml/full_predictions/005_IMG20260826123004_pred.png,09e94b19087881cf889382dfef62231f35342b84d8388230c24f824ed5e87b6c,analysis/ml/reconstruction_masks/005_IMG20260826123004_mask.png,09e94b19087881cf889382dfef62231f35342b84d8388230c24f824ed5e87b6c,0.30192703546262256,0.30192703546262256
6,IMG20260826123008.jpg,3072,4080,analysis/ml/full_predictions/006_IMG20260826123008_pred.png,ccc328857cbf10a8facc2f02ab2c2344bf3e51ee349c6be0df14b88b26f09b63,analysis/ml/reconstruction_masks/006_IMG20260826123008_mask.png,ccc328857cbf10a8facc2f02ab2c2344bf3e51ee349c6be0df14b88b26f09b63,0.31236133450776143,0.31236133450776143
7,IMG20260826123012.jpg,3072,4080,analysis/ml/full_predictions/007_IMG20260826123012_pred.png,8960da3a40b41bea32588c07ab16983750662d71fc90556001fd311ee919e8be,analysis/ml/reconstruction_masks/007_IMG20260826123012_mask.png,ad9be4cac39f7997c53507524db2807b70e136313d1f227033500a6ff43751ef,0.3176828022875817,0.3163455339818219
8,IMG20260826123017.jpg,3072,4080,analysis/ml/full_predictions/008_IMG20260826123017_pred.png,b21dd0cd5294ccb4e694918e13aed36e8ae93c82c8c47eeb8fea1f0b52baac54,analysis/ml/reconstruction_masks/008_IMG20260826123017_mask.png,b21dd0cd5294ccb4e694918e13aed36e8ae93c82c8c47eeb8fea1f0b52baac54,0.3164852366727941,0.3164852366727941
9,IMG20260826123020.jpg,3072,4080,analysis/ml/full_predictions/009_IMG20260826123020_pred.png,d9eca47be4560f51eb34299c76546f3652492259a1a76bc1a08f403ec7e4e5c9,analysis/ml/reconstruction_masks/009_IMG20260826123020_mask.png,d9eca47be4560f51eb34299c76546f3652492259a1a76bc1a08f403ec7e4e5c9,0.31064461103451796,0.31064461103451796
10,IMG20260826123023.jpg,3072,4080,analysis/ml/full_predictions/010_IMG20260826123023_pred.png,4524c6d14ced550a6b419d20af15506d3813317b36b89361ddf5a538941bcfa0,analysis/ml/reconstruction_masks/010_IMG20260826123023_mask.png,7bf0df5dd1940b32c82fa1d0c3ce7b342136a0c762edce656a449ce7462d0eaa,0.29260198057087417,0.2699191623263889
