selected_index,filename,width,height,orientation,make,model,lens_model,focal_length_mm,focal_length_35mm,digital_zoom_ratio,datetime_original
1,IMG20260826122949.jpg,3072,4080,1,OPPO,OPPO Reno12 F,OPPO Reno12 F back camera 26mm f/1.8,3.98,26.0,1.0,2026:08:26 12:29:49
2,IMG20260826122953.jpg,3072,4080,1,OPPO,OPPO Reno12 F,OPPO Reno12 F back camera 26mm f/1.8,3.98,26.0,1.0,2026:08:26 12:29:53
3,IMG20260826122956.jpg,3072,4080,1,OPPO,OPPO Reno12 F,OPPO Reno12 F back camera 26mm f/1.8,3.98,26.0,1.0,2026:08:26 12:29:56
4,IMG20260826123000.jpg,3072,4080,1,OPPO,OPPO Reno12 F,OPPO Reno12 F back camera 26mm f/1.8,3.98,26.0,1.0,2026:08:26 12:30:00
5,IMG20260826123004.jpg,3072,4080,1,OPPO,OPPO Reno12 F,OPPO Reno12 F back camera 26mm f/1.8,3.98,26.0,1.0,2026:08:26 12:30:04
6,IMG20260826123008.jpg,3072,4080,1,OPPO,OPPO Reno12 F,OPPO Reno12 F back camera 26mm f/1.8,3.98,26.0,1.0,2026:08:26 12:30:08
7,IMG20260826123012.jpg,3072,4080,1,OPPO,OPPO Reno12 F,OPPO Reno12 F back camera 26mm f/1.8,3.98,26.0,1.0,2026:08:26 12:30:12
8,IMG20260826123017.jpg,3072,4080,1,OPPO,OPPO Reno12 F,OPPO Reno12 F back camera 26mm f/1.8,3.98,26.0,1.0,2026:08:26 12:30:17
9,IMG20260826123020.jpg,3072,4080,1,OPPO,OPPO Reno12 F,OPPO Reno12 F back camera 26mm f/1.8,3.98,26.0,1.0,2026:08:26 12:30:20
10,IMG20260826123023.jpg,3072,4080,1,OPPO,OPPO Reno12 F,OPPO Reno12 F back camera 26mm f/1.8,3.98,26.0,1.0,2026:08:26 12:30:23
11,IMG20260826123027.jpg,3072,4080,1,OPPO,OPPO Reno12 F,OPPO Reno12 F back camera 26mm f/1.8,3.98,26.0,1.0,2026:08:26 12:30:27
12,IMG20260826123038.jpg,3072,4080,1,OPPO,OPPO Reno12 F,OPPO Reno12 F back camera 26mm f/1.8,3.98,26.0,1.0,2026:08:26 12:30:38
13,IMG20260826123042.jpg,3072,4080,1,OPPO,OPPO Reno12 F,OPPO Reno12 F back camera 26mm f/1.8,3.98,26.0,1.0,2026:08:26 12:30:42
14,IMG20260826123046.jpg,3072,4080,1,OPPO,OPPO Reno12 F,OPPO Reno12 F back camera 26mm f/1.8,3.98,26.0,1.0,2026:08:26 12:30:46
15,IMG20260826123052.jpg,3072,4080,1,OPPO,OPPO Reno12 F,OPPO Reno12 F back camera 26mm f/1.8,3.98,26.0,1.0,2026:08:26 12:30:52
16,IMG20260826123056.jpg,3072,4080,1,OPPO,OPPO Reno12 F,OPPO Reno12 F back camera 26mm f/1.8,3.98,26.0,1.0,2026:08:26 12:30:56
17,IMG20260826123101.jpg,3072,4080,1,OPPO,OPPO Reno12 F,OPPO Reno12 F back camera 26mm f/1.8,3.98,26.0,1.0,2026:08:26 12:31:01
18,IMG20260826123106.jpg,3072,4080,1,OPPO,OPPO Reno12 F,OPPO Reno12 F back camera 26mm f/1.8,3.98,26.0,1.0,2026:08:26 12:31:06
19,IMG20260826123111.jpg,3072,4080,1,OPPO,OPPO Reno12 F,OPPO Reno12 F back camera 26mm f/1.8,3.98,26.0,1.0,2026:08:26 12:31:11
20,IMG20260826123115.jpg,3072,4080,1,OPPO,OPPO Reno12 F,OPPO Reno12 F back camera 26mm f/1.8,3.98,26.0,1.0,2026:08:26 12:31:15
21,IMG20260826123119.jpg,3072,4080,1,OPPO,OPPO Reno12 F,OPPO Reno12 F back camera 26mm f/1.8,3.98,26.0,1.0,2026:08:26 12:31:19
22,IMG20260826123123.jpg,3072,4080,1,OPPO,OPPO Reno12 F,OPPO Reno12 F back camera 26mm f/1.8,3.98,26.0,1.0,2026:08:26 12:31:23
23,IMG20260826123157.jpg,3072,4080,1,OPPO,OPPO Reno12 F,OPPO Reno12 F back camera 26mm f/1.8,3.98,26.0,1.0,2026:08:26 12:31:57
24,IMG20260826123204.jpg,3072,4080,1,OPPO,OPPO Reno12 F,OPPO Reno12 F back camera 26mm f/1.8,3.98,26.0,1.0,2026:08:26 12:32:04
25,IMG20260826123209.jpg,3072,4080,1,OPPO,OPPO Reno12 F,OPPO Reno12 F back camera 26mm f/1.8,3.98,26.0,1.0,2026:08:26 12:32:09
26,IMG20260826123213.jpg,3072,4080,1,OPPO,OPPO Reno12 F,OPPO Reno12 F back camera 26mm f/1.8,3.98,26.0,1.0,2026:08:26 12:32:13
27,IMG20260826123217.jpg,3072,4080,1,OPPO,OPPO Reno12 F,OPPO Reno12 F back camera 26mm f/1.8,3.98,26.0,1.0,2026:08:26 12:32:17
28,IMG20260826123223.jpg,3072,4080,1,OPPO,OPPO Reno12 F,OPPO Reno12 F back camera 26mm f/1.8,3.98,26.0,1.0,2026:08:26 12:32:23
29,IMG20260826123228.jpg,3072,4080,1,OPPO,OPPO Reno12 F,OPPO Reno12 F back camera 26mm f/1.8,3.98,26.0,1.0,2026:08:26 12:32:28
30,IMG20260826123233.jpg,3072,4080,1,OPPO,OPPO Reno12 F,OPPO Reno12 F back camera 26mm f/1.8,3.98,26.0,1.0,2026:08:26 12:32:33
31,IMG20260826123237.jpg,3072,4080,1,OPPO,OPPO Reno12 F,OPPO Reno12 F back camera 26mm f/1.8,3.98,26.0,1.0,2026:08:26 12:32:37
32,IMG20260826123246.jpg,3072,4080,1,OPPO,OPPO Reno12 F,OPPO Reno12 F back camera 26mm f/1.8,3.98,26.0,1.0,2026:08:26 12:32:46
33,IMG20260826123250.jpg,3072,4080,1,OPPO,OPPO Reno12 F,OPPO Reno12 F back camera 26mm f/1.8,3.98,26.0,1.0,2026:08:26 12:32:50
34,IMG20260826123308.jpg,3072,4080,1,OPPO,OPPO Reno12 F,OPPO Reno12 F back camera 26mm f/1.8,3.98,26.0,1.0,2026:08:26 12:33:08
35,IMG20260826123316.jpg,3072,4080,1,OPPO,OPPO Reno12 F,OPPO Reno12 F back camera 26mm f/1.8,3.98,26.0,1.0,2026:08:26 12:33:16
36,IMG20260826123320.jpg,3072,4080,1,OPPO,OPPO Reno12 F,OPPO Reno12 F back camera 26mm f/1.8,3.98,26.0,1.0,2026:08:26 12:33:20
37,IMG20260826123324.jpg,3072,4080,1,OPPO,OPPO Reno12 F,OPPO Reno12 F back camera 26mm f/1.8,3.98,26.0,1.0,2026:08:26 12:33:24
38,IMG20260826123329.jpg,3072,4080,1,OPPO,OPPO Reno12 F,OPPO Reno12 F back camera 26mm f/1.8,3.98,26.0,1.0,2026:08:26 12:33:29
39,IMG20260826123333.jpg,3072,4080,1,OPPO,OPPO Reno12 F,OPPO Reno12 F back camera 26mm f/1.8,3.98,26.0,1.0,2026:08:26 12:33:33
40,IMG20260826123344.jpg,3072,4080,1,OPPO,OPPO Reno12 F,OPPO Reno12 F back camera 26mm f/1.8,3.98,26.0,1.0,2026:08:26 12:33:44
41,IMG20260826123349.jpg,3072,4080,1,OPPO,OPPO Reno12 F,OPPO Reno12 F back camera 26mm f/1.8,3.98,26.0,1.0,2026:08:26 12:33:49
42,IMG20260826123353.jpg,3072,4080,1,OPPO,OPPO Reno12 F,OPPO Reno12 F back camera 26mm f/1.8,3.98,26.0,1.0,2026:08:26 12:33:53
43,IMG20260826123357.jpg,3072,4080,1,OPPO,OPPO Reno12 F,OPPO Reno12 F back camera 26mm f/1.8,3.98,26.0,1.0,2026:08:26 12:33:57
44,IMG20260826123403.jpg,3072,4080,1,OPPO,OPPO Reno12 F,OPPO Reno12 F back camera 26mm f/1.8,3.98,26.0,1.0,2026:08:26 12:34:03
45,IMG20260826123408.jpg,3072,4080,1,OPPO,OPPO Reno12 F,OPPO Reno12 F back camera 26mm f/1.8,3.98,26.0,1.0,2026:08:26 12:34:08
46,IMG20260826123414.jpg,3072,4080,1,OPPO,OPPO Reno12 F,OPPO Reno12 F back camera 26mm f/1.8,3.98,26.0,1.0,2026:08:26 12:34:14
47,IMG20260826123417.jpg,3072,4080,1,OPPO,OPPO Reno12 F,OPPO Reno12 F back camera 26mm f/1.8,3.98,26.0,1.0,2026:08:26 12:34:17
48,IMG20260826123422.jpg,3072,4080,1,OPPO,OPPO Reno12 F,OPPO Reno12 F back camera 26mm f/1.8,3.98,26.0,1.0,2026:08:26 12:34:22
49,IMG20260826123427.jpg,3072,4080,1,OPPO,OPPO Reno12 F,OPPO Reno12 F back camera 26mm f/1.8,3.98,26.0,1.0,2026:08:26 12:34:27
50,IMG20260826123434.jpg,3072,4080,1,OPPO,OPPO Reno12 F,OPPO Reno12 F back camera 26mm f/1.8,3.98,26.0,1.0,2026:08:26 12:34:34
51,IMG20260826123437.jpg,3072,4080,1,OPPO,OPPO Reno12 F,OPPO Reno12 F back camera 26mm f/1.8,3.98,26.0,1.0,2026:08:26 12:34:37
52,IMG20260826123441.jpg,3072,4080,1,OPPO,OPPO Reno12 F,OPPO Reno12 F back camera 26mm f/1.8,3.98,26.0,1.0,2026:08:26 12:34:41
53,IMG20260826123446.jpg,3072,4080,1,OPPO,OPPO Reno12 F,OPPO Reno12 F back camera 26mm f/1.8,3.98,26.0,1.0,2026:08:26 12:34:46
54,IMG20260826123450.jpg,3072,4080,1,OPPO,OPPO Reno12 F,OPPO Reno12 F back camera 26mm f/1.8,3.98,26.0,1.0,2026:08:26 12:34:50
55,IMG20260826123454.jpg,3072,4080,1,OPPO,OPPO Reno12 F,OPPO Reno12 F back camera 26mm f/1.8,3.98,26.0,1.0,2026:08:26 12:34:54
56,IMG20260826123708.jpg,3072,4080,1,OPPO,OPPO Reno12 F,OPPO Reno12 F back camera 26mm f/1.8,3.98,26.0,1.0,2026:08:26 12:37:08
57,IMG20260826123712.jpg,3072,4080,1,OPPO,OPPO Reno12 F,OPPO Reno12 F back camera 26mm f/1.8,3.98,26.0,1.0,2026:08:26 12:37:12
58,IMG20260826123719.jpg,3072,4080,1,OPPO,OPPO Reno12 F,OPPO Reno12 F back camera 26mm f/1.8,3.98,26.0,1.0,2026:08:26 12:37:19
59,IMG20260826123725.jpg,3072,4080,1,OPPO,OPPO Reno12 F,OPPO Reno12 F back camera 26mm f/1.8,3.98,26.0,1.0,2026:08:26 12:37:25
60,IMG20260826123730.jpg,3072,4080,1,OPPO,OPPO Reno12 F,OPPO Reno12 F back camera 26mm f/1.8,3.98,26.0,1.0,2026:08:26 12:37:30
61,IMG20260826123733.jpg,3072,4080,1,OPPO,OPPO Reno12 F,OPPO Reno12 F back camera 26mm f/1.8,3.98,26.0,1.0,2026:08:26 12:37:33
62,IMG20260826123740.jpg,3072,4080,1,OPPO,OPPO Reno12 F,OPPO Reno12 F back camera 26mm f/1.8,3.98,26.0,1.0,2026:08:26 12:37:40
63,IMG20260826123746.jpg,3072,4080,1,OPPO,OPPO Reno12 F,OPPO Reno12 F back camera 26mm f/1.8,3.98,26.0,1.0,2026:08:26 12:37:46
64,IMG20260826123749.jpg,3072,4080,1,OPPO,OPPO Reno12 F,OPPO Reno12 F back camera 26mm f/1.8,3.98,26.0,1.0,2026:08:26 12:37:49
65,IMG20260826123753.jpg,3072,4080,1,OPPO,OPPO Reno12 F,OPPO Reno12 F back camera 26mm f/1.8,3.98,26.0,1.0,2026:08:26 12:37:53
