pair_a,pair_b,mode,keypoints_a,keypoints_b,candidate_matches,inliers,inlier_ratio,median_sampson_error,p90_sampson_error,grid_coverage,status,edge_type,strong
1,2,unmasked,5402,5386,325,216,0.6646153846153846,0.16852975158206607,0.757811153474601,0.6875,ok,adjacent,1
2,3,unmasked,5386,5796,298,173,0.5805369127516778,0.15236553013155124,0.7144405930051028,0.71875,ok,adjacent,1
3,4,unmasked,5796,5705,329,180,0.547112462006079,0.0946189276196703,0.7214849562995561,0.6875,ok,adjacent,1
4,5,unmasked,5705,5957,242,129,0.5330578512396694,0.11782869256251198,0.7007915831632557,0.625,ok,adjacent,1
5,6,unmasked,5957,6118,329,216,0.6565349544072948,0.11247978207517029,0.6403988320302604,0.75,ok,adjacent,1
6,7,unmasked,6118,6275,399,259,0.6491228070175439,0.17100278167344032,0.7017313180871999,0.75,ok,adjacent,1
7,8,unmasked,6275,6053,379,245,0.6464379947229552,0.1415495070065006,0.6616390519141157,0.8125,ok,adjacent,1
8,9,unmasked,6053,5943,603,428,0.7097844112769486,0.08814590289989258,0.5517372240287733,0.75,ok,adjacent,1
9,10,unmasked,5943,6077,444,296,0.6666666666666666,0.22283266533563828,0.8091514536772475,0.75,ok,adjacent,1
10,11,unmasked,6077,6045,454,323,0.711453744493392,0.12148308912744184,0.6201812333484884,0.8125,ok,adjacent,1
11,12,unmasked,6045,6117,643,500,0.7776049766718507,0.09465592784935767,0.6125745299410381,0.875,ok,adjacent,1
12,13,unmasked,6117,5997,640,448,0.7,0.36968124245590456,0.9225677162205581,0.6875,ok,adjacent,1
13,14,unmasked,5997,6514,394,283,0.7182741116751269,0.18798136232096427,0.8399723557027055,0.625,ok,adjacent,1
14,15,unmasked,6514,6839,986,809,0.8204868154158215,0.06095201846060953,0.43591484281229853,0.625,ok,adjacent,1
15,16,unmasked,6839,6375,958,704,0.7348643006263048,0.11258115546945023,0.6598042775042725,0.65625,ok,adjacent,1
16,17,unmasked,6375,6285,375,263,0.7013333333333334,0.12306038822400461,0.6949416221633418,0.78125,ok,adjacent,1
17,18,unmasked,6285,6245,504,344,0.6825396825396826,0.07811362347001236,0.562142657352779,0.6875,ok,adjacent,1
18,19,unmasked,6245,6113,1028,923,0.8978599221789884,0.06892616574773534,0.4251466937963775,0.875,ok,adjacent,1
19,20,unmasked,6113,5874,523,372,0.7112810707456979,0.13806121708671926,0.6407135358891348,0.65625,ok,adjacent,1
20,21,unmasked,5874,6039,279,173,0.6200716845878136,0.16842395921532913,0.8974013176898609,0.6875,ok,adjacent,1
21,22,unmasked,6039,6069,309,218,0.7055016181229773,0.13871955531875646,0.6740577240620529,0.625,ok,adjacent,1
22,23,unmasked,6069,5591,318,199,0.6257861635220126,0.15024004689830192,0.721385062963969,0.59375,ok,adjacent,1
23,24,unmasked,5591,5648,770,582,0.7558441558441559,0.10828973630145367,0.6033289021405723,0.6875,ok,adjacent,1
24,25,unmasked,5648,5927,507,383,0.7554240631163708,0.15654501740979979,0.7727916839055899,0.625,ok,adjacent,1
25,26,unmasked,5927,6153,425,291,0.6847058823529412,0.11415523092399082,0.6969749153866555,0.5,ok,adjacent,1
26,27,unmasked,6153,6757,462,315,0.6818181818181818,0.11633906017344674,0.6626202300312858,0.625,ok,adjacent,1
27,28,unmasked,6757,6618,413,290,0.7021791767554479,0.11910080356079641,0.7520453064041398,0.5,ok,adjacent,1
28,29,unmasked,6618,6386,334,241,0.7215568862275449,0.07281049249250304,0.6040093245253089,0.6875,ok,adjacent,1
29,30,unmasked,6386,7040,300,182,0.6066666666666667,0.12058080747386465,0.6855207009839804,0.6875,ok,adjacent,1
30,31,unmasked,7040,7182,494,344,0.6963562753036437,0.11957427573095551,0.6912712787795434,0.65625,ok,adjacent,1
31,32,unmasked,7182,5470,190,86,0.45263157894736844,0.0965000832989475,0.6981285238888877,0.625,ok,adjacent,1
32,33,unmasked,5470,5966,361,246,0.6814404432132964,0.09903269527355747,0.6666598034600757,0.6875,ok,adjacent,1
33,34,unmasked,5966,4290,909,661,0.7271727172717272,0.18635660165237797,0.5610837215980402,0.5,ok,adjacent,1
34,35,unmasked,4290,5931,302,174,0.5761589403973509,0.16458224130228735,0.7212277100638391,0.65625,ok,adjacent,1
35,36,unmasked,5931,5747,387,268,0.6925064599483204,0.06547831418107655,0.5339110038785257,0.6875,ok,adjacent,1
36,37,unmasked,5747,5680,658,475,0.7218844984802432,0.07409528568104115,0.6453744835759708,0.5625,ok,adjacent,1
37,38,unmasked,5680,5458,288,174,0.6041666666666666,0.09759471080029146,0.6202188559110711,0.625,ok,adjacent,1
38,39,unmasked,5458,5480,373,250,0.6702412868632708,0.19013161243674065,0.7004489709177452,0.875,ok,adjacent,1
39,40,unmasked,5480,4908,240,153,0.6375,0.14176379594079103,0.6326973844506336,0.625,ok,adjacent,1
40,41,unmasked,4908,4750,380,242,0.6368421052631579,0.12983964340313714,0.6427925060038202,0.6875,ok,adjacent,1
41,42,unmasked,4750,4667,300,207,0.69,0.137607707597357,0.6640530053008512,0.5625,ok,adjacent,1
42,43,unmasked,4667,4894,376,247,0.6569148936170213,0.11447748259809,0.6990075567739267,0.5625,ok,adjacent,1
43,44,unmasked,4894,4510,571,399,0.6987740805604203,0.1453675307001626,0.6717274318929662,0.65625,ok,adjacent,1
44,45,unmasked,4510,4612,347,222,0.6397694524495677,0.17861029562004954,0.7905949379912073,0.6875,ok,adjacent,1
45,46,unmasked,4612,4842,505,335,0.6633663366336634,0.08792840922371385,0.6482420469352077,0.78125,ok,adjacent,1
46,47,unmasked,4842,5015,612,425,0.6944444444444444,0.1159375795832219,0.7064368381373097,0.65625,ok,adjacent,1
47,48,unmasked,5015,5002,453,329,0.7262693156732892,0.1119255808044751,0.638826642898269,0.625,ok,adjacent,1
48,49,unmasked,5002,5029,517,367,0.7098646034816247,0.06696440075828,0.6309235674106104,0.6875,ok,adjacent,1
49,50,unmasked,5029,4909,494,310,0.6275303643724697,0.07066334699001875,0.5784395179453787,0.6875,ok,adjacent,1
50,51,unmasked,4909,4559,641,486,0.7581903276131046,0.06554689112834122,0.6362265938255207,0.8125,ok,adjacent,1
51,52,unmasked,4559,4181,590,410,0.6949152542372882,0.12144350916794627,0.651583748025293,0.8125,ok,adjacent,1
52,53,unmasked,4181,4150,446,318,0.7130044843049327,0.06469453928372315,0.6426187094786643,0.59375,ok,adjacent,1
53,54,unmasked,4150,3985,681,524,0.7694566813509545,0.0911193244151903,0.5671661973550672,0.6875,ok,adjacent,1
54,55,unmasked,3985,3890,648,519,0.8009259259259259,0.12014496126601062,0.723006057063461,0.8125,ok,adjacent,1
55,56,unmasked,3890,4731,581,432,0.7435456110154905,0.06206263961497091,0.5677923211710174,0.59375,ok,adjacent,1
56,57,unmasked,4731,4802,585,453,0.7743589743589744,0.07167115082338422,0.6159446875025331,0.8125,ok,adjacent,1
57,58,unmasked,4802,4850,931,735,0.7894736842105263,0.0517601251131255,0.46857097499018535,0.6875,ok,adjacent,1
58,59,unmasked,4850,5328,458,303,0.6615720524017468,0.06484280555982051,0.5174509895945552,0.78125,ok,adjacent,1
59,60,unmasked,5328,5184,295,165,0.559322033898305,0.12376415757478886,0.6813272872733968,0.71875,ok,adjacent,1
60,61,unmasked,5184,5934,505,337,0.6673267326732674,0.04353346703853548,0.5637106277121544,0.75,ok,adjacent,1
61,62,unmasked,5934,5508,283,158,0.558303886925795,0.14591381055690783,0.6851354738177611,0.625,ok,adjacent,1
62,63,unmasked,5508,5855,488,322,0.6598360655737705,0.10005700826237147,0.6410487045722252,0.75,ok,adjacent,1
63,64,unmasked,5855,6023,361,222,0.6149584487534626,0.09062852406657615,0.7748337939306539,0.84375,ok,adjacent,1
64,65,unmasked,6023,5466,375,217,0.5786666666666667,0.11009720007625211,0.8204722059368361,0.78125,ok,adjacent,1
