selected_index,filename,split,view_category,quality_condition,source_width,source_height,source_sha256,mask_path,mask_sha256,annotation_method
3,IMG20260826122956.jpg,train,normal_side,normal,3072,4080,8db6db94e8e45fc3480898f2b5e62ef2133ee97a5c61ef82d636211f2b51599e,ml_dataset/masks/IMG20260826122956_mask.png,80ae09e81d7a5ae920db9ce448e9e64479b96aef55be0e21b0e8de113f025694,opencv_assisted_visually_reviewed_bounded_correction
10,IMG20260826123023.jpg,train,normal_side,normal,3072,4080,c2f721b7148add3cd7f7162ebf4ed09559b8074602a85a6a057a13ae7fadb815,ml_dataset/masks/IMG20260826123023_mask.png,62e4d0eae6fc02aa6916919e8da86fb2ff330644ca9fd90161a5e25fc5f9dc1f,opencv_assisted_visually_reviewed_bounded_correction
19,IMG20260826123111.jpg,train,normal_side,normal,3072,4080,df760370b6b526dfbdb0a20fa55ad8d423baaa896e868aa9d6c2177ec9ec015e,ml_dataset/masks/IMG20260826123111_mask.png,45ebc6bd0f603937a4e0f2ee854839f178f57c85bcc0aa243f9fe8951375365e,opencv_assisted_visually_reviewed_bounded_correction
28,IMG20260826123223.jpg,train,normal_side,normal,3072,4080,67168d8bf61427764ac9896abb4ed43b9161c958537036f1f207e7c615464db8,ml_dataset/masks/IMG20260826123223_mask.png,5cff484c4b5013bd040fdee66d1442507058268c3b39106362cc20276c236156,opencv_assisted_visually_reviewed_bounded_correction
39,IMG20260826123333.jpg,train,normal_side,normal,3072,4080,735eec35db0e80104aff775e320a53c53822620f375b453baf86da3c014808c0,ml_dataset/masks/IMG20260826123333_mask.png,e9c6b9e6a53996f0d48456af39ae556302847ce2c258e5d93cc821c1bf752463,opencv_assisted_visually_reviewed_bounded_correction
50,IMG20260826123434.jpg,train,normal_side,normal,3072,4080,0bfb6d91c0914f1d61eadcddc185f8750d4c2bc3d5aca01eb76b86665a44bec3,ml_dataset/masks/IMG20260826123434_mask.png,a527fbd52e3afc6575f56c345397f383bd0f28190ac1e0ab305294deb4ff88ae,opencv_assisted_visually_reviewed_bounded_correction
62,IMG20260826123740.jpg,val,normal_side,low_brightness,3072,4080,7425b963092966e23053b87de401150eba59f0726a8a8e97af44502ccb44e91b,ml_dataset/masks/IMG20260826123740_mask.png,e877a360dc2699c4ff1b3f3f80323b0cf7f7758ba22941dcec8271863495979c,opencv_assisted_visually_reviewed_bounded_correction
72,IMG20260826123820.jpg,test,normal_side,normal,3072,4080,8a709a8263212f6f36952393f685983bc833338b6e18fc68a6fecffea9ab676c,ml_dataset/masks/IMG20260826123820_mask.png,6b1a93389150b33588a6cc3138da1661e198b6a4060a449ec2b165ea1e3f87e6,opencv_assisted_visually_reviewed_bounded_correction
76,IMG20260826124024.jpg,train,low_angle_pedestal,bright_clipping,3072,4080,c7c25fdd5036aa70d082d072cf05d9dfa5528cbc22eed5645bbb9dfb1be98c0c,ml_dataset/masks/IMG20260826124024_mask.png,f9976a6bb61aa3cc79555056353f15344cca85b5f91b39e7fb22122fee0149b3,opencv_assisted_visually_reviewed_bounded_correction
82,IMG20260826124048.jpg,train,low_angle_pedestal,bright_clipping,3072,4080,9f7057495a2781dd6d234a83c647d0ba5f7c61865499170adeaf520dea3653d6,ml_dataset/masks/IMG20260826124048_mask.png,a99e5a46f0da13727f1cfec05d291ca28299316c8e2bba45a255547098e20fc1,opencv_assisted_visually_reviewed_bounded_correction
90,IMG20260826124123.jpg,train,low_angle_pedestal,normal,3072,4080,99e5f885e3d2cd1a13561811874040abd2a2acfdbb2de870a21ef2b5c8a8e8c8,ml_dataset/masks/IMG20260826124123_mask.png,d8290f414a1b5943cfffb6788bd2dd3796a8c5b4d053078f0ce32ef9391140fb,opencv_assisted_visually_reviewed_bounded_correction
98,IMG20260826124156.jpg,train,low_angle_pedestal,high_brightness,3072,4080,9b22e982b42d78b18ac91956e06e14ebf22c257977ace4a09de8e54411867094,ml_dataset/masks/IMG20260826124156_mask.png,819ebe903cc065a7827072eb48a455ebd834e0d061a17e5596e27278c941484c,opencv_assisted_visually_reviewed_bounded_correction
106,IMG20260826124237.jpg,train,low_angle_pedestal,high_brightness,3072,4080,f56f77452cd03afbf6b9ca30b2ac4f3003c34b0bbed70f7ce21b7391ff35ec6b,ml_dataset/masks/IMG20260826124237_mask.png,a2bb2eda5e685bda05f47485e9c6844a838115f0ec961d2da2fd73e1b8d46d8c,opencv_assisted_visually_reviewed_bounded_correction
114,IMG20260826124323.jpg,train,low_angle_pedestal,normal,3072,4080,c042d0adbf7ea8c2b0b7962af8f777054f2e833e35564937829623b94f3df29c,ml_dataset/masks/IMG20260826124323_mask.png,2d762dbee8f981ceda8f1a7d21602dd11d2b68d8a4c2b7625cebf1ba39c3abfa,opencv_assisted_visually_reviewed_bounded_correction
128,IMG20260826124422.jpg,val,low_angle_pedestal,normal,3072,4080,a780f066ea973f953c863ed0c6c10ceb7fe4878b8541a722e363a88095424a3d,ml_dataset/masks/IMG20260826124422_mask.png,02cd377dba15068002fac40f41102b1f1faf67d5773a0853009467450b67cae5,opencv_assisted_visually_reviewed_bounded_correction
