selected_index,filename,include,reason,selected_image_path,feature_mode,mask_path
1,IMG20260826122949.jpg,1,keep_endpoint_connected,preprocessing/pycolmap_input/images/IMG20260826122949.jpg,unmasked,
2,IMG20260826122953.jpg,1,keep_connected,preprocessing/pycolmap_input/images/IMG20260826122953.jpg,unmasked,
3,IMG20260826122956.jpg,1,keep_connected,preprocessing/pycolmap_input/images/IMG20260826122956.jpg,unmasked,
4,IMG20260826123000.jpg,1,keep_connected,preprocessing/pycolmap_input/images/IMG20260826123000.jpg,unmasked,
5,IMG20260826123004.jpg,1,keep_connected,preprocessing/pycolmap_input/images/IMG20260826123004.jpg,unmasked,
6,IMG20260826123008.jpg,1,keep_connected,preprocessing/pycolmap_input/images/IMG20260826123008.jpg,unmasked,
7,IMG20260826123012.jpg,1,keep_connected,preprocessing/pycolmap_input/images/IMG20260826123012.jpg,unmasked,
8,IMG20260826123017.jpg,1,keep_connected,preprocessing/pycolmap_input/images/IMG20260826123017.jpg,unmasked,
9,IMG20260826123020.jpg,1,keep_connected,preprocessing/pycolmap_input/images/IMG20260826123020.jpg,unmasked,
10,IMG20260826123023.jpg,1,keep_connected,preprocessing/pycolmap_input/images/IMG20260826123023.jpg,unmasked,
11,IMG20260826123027.jpg,1,keep_connected,preprocessing/pycolmap_input/images/IMG20260826123027.jpg,unmasked,
12,IMG20260826123038.jpg,1,keep_connected,preprocessing/pycolmap_input/images/IMG20260826123038.jpg,unmasked,
13,IMG20260826123042.jpg,1,keep_connected,preprocessing/pycolmap_input/images/IMG20260826123042.jpg,unmasked,
14,IMG20260826123046.jpg,1,keep_connected,preprocessing/pycolmap_input/images/IMG20260826123046.jpg,unmasked,
15,IMG20260826123052.jpg,1,keep_connected,preprocessing/pycolmap_input/images/IMG20260826123052.jpg,unmasked,
16,IMG20260826123056.jpg,1,keep_connected,preprocessing/pycolmap_input/images/IMG20260826123056.jpg,unmasked,
17,IMG20260826123101.jpg,1,keep_connected,preprocessing/pycolmap_input/images/IMG20260826123101.jpg,unmasked,
18,IMG20260826123106.jpg,1,keep_connected,preprocessing/pycolmap_input/images/IMG20260826123106.jpg,unmasked,
19,IMG20260826123111.jpg,1,keep_connected,preprocessing/pycolmap_input/images/IMG20260826123111.jpg,unmasked,
20,IMG20260826123115.jpg,1,keep_connected,preprocessing/pycolmap_input/images/IMG20260826123115.jpg,unmasked,
21,IMG20260826123119.jpg,1,keep_connected,preprocessing/pycolmap_input/images/IMG20260826123119.jpg,unmasked,
22,IMG20260826123123.jpg,1,keep_connected,preprocessing/pycolmap_input/images/IMG20260826123123.jpg,unmasked,
23,IMG20260826123157.jpg,1,keep_connected,preprocessing/pycolmap_input/images/IMG20260826123157.jpg,unmasked,
24,IMG20260826123204.jpg,1,keep_connected,preprocessing/pycolmap_input/images/IMG20260826123204.jpg,unmasked,
25,IMG20260826123209.jpg,1,keep_connected,preprocessing/pycolmap_input/images/IMG20260826123209.jpg,unmasked,
26,IMG20260826123213.jpg,1,keep_connected,preprocessing/pycolmap_input/images/IMG20260826123213.jpg,unmasked,
27,IMG20260826123217.jpg,1,keep_connected,preprocessing/pycolmap_input/images/IMG20260826123217.jpg,unmasked,
28,IMG20260826123223.jpg,1,keep_connected,preprocessing/pycolmap_input/images/IMG20260826123223.jpg,unmasked,
29,IMG20260826123228.jpg,1,keep_connected,preprocessing/pycolmap_input/images/IMG20260826123228.jpg,unmasked,
30,IMG20260826123233.jpg,1,keep_connected,preprocessing/pycolmap_input/images/IMG20260826123233.jpg,unmasked,
31,IMG20260826123237.jpg,1,keep_connected,preprocessing/pycolmap_input/images/IMG20260826123237.jpg,unmasked,
32,IMG20260826123246.jpg,1,keep_connected,preprocessing/pycolmap_input/images/IMG20260826123246.jpg,unmasked,
33,IMG20260826123250.jpg,1,keep_connected,preprocessing/pycolmap_input/images/IMG20260826123250.jpg,unmasked,
34,IMG20260826123308.jpg,1,keep_connected,preprocessing/pycolmap_input/images/IMG20260826123308.jpg,unmasked,
35,IMG20260826123316.jpg,1,keep_connected,preprocessing/pycolmap_input/images/IMG20260826123316.jpg,unmasked,
36,IMG20260826123320.jpg,1,keep_connected,preprocessing/pycolmap_input/images/IMG20260826123320.jpg,unmasked,
37,IMG20260826123324.jpg,1,keep_connected,preprocessing/pycolmap_input/images/IMG20260826123324.jpg,unmasked,
38,IMG20260826123329.jpg,1,keep_connected,preprocessing/pycolmap_input/images/IMG20260826123329.jpg,unmasked,
39,IMG20260826123333.jpg,1,keep_connected,preprocessing/pycolmap_input/images/IMG20260826123333.jpg,unmasked,
40,IMG20260826123344.jpg,1,keep_connected,preprocessing/pycolmap_input/images/IMG20260826123344.jpg,unmasked,
41,IMG20260826123349.jpg,1,keep_connected,preprocessing/pycolmap_input/images/IMG20260826123349.jpg,unmasked,
42,IMG20260826123353.jpg,1,keep_connected,preprocessing/pycolmap_input/images/IMG20260826123353.jpg,unmasked,
43,IMG20260826123357.jpg,1,keep_connected,preprocessing/pycolmap_input/images/IMG20260826123357.jpg,unmasked,
44,IMG20260826123403.jpg,1,keep_connected,preprocessing/pycolmap_input/images/IMG20260826123403.jpg,unmasked,
45,IMG20260826123408.jpg,1,keep_connected,preprocessing/pycolmap_input/images/IMG20260826123408.jpg,unmasked,
46,IMG20260826123414.jpg,1,keep_connected,preprocessing/pycolmap_input/images/IMG20260826123414.jpg,unmasked,
47,IMG20260826123417.jpg,1,keep_connected,preprocessing/pycolmap_input/images/IMG20260826123417.jpg,unmasked,
48,IMG20260826123422.jpg,1,keep_connected,preprocessing/pycolmap_input/images/IMG20260826123422.jpg,unmasked,
49,IMG20260826123427.jpg,1,keep_connected,preprocessing/pycolmap_input/images/IMG20260826123427.jpg,unmasked,
50,IMG20260826123434.jpg,1,keep_connected,preprocessing/pycolmap_input/images/IMG20260826123434.jpg,unmasked,
51,IMG20260826123437.jpg,1,keep_connected,preprocessing/pycolmap_input/images/IMG20260826123437.jpg,unmasked,
52,IMG20260826123441.jpg,1,keep_connected,preprocessing/pycolmap_input/images/IMG20260826123441.jpg,unmasked,
53,IMG20260826123446.jpg,1,keep_connected,preprocessing/pycolmap_input/images/IMG20260826123446.jpg,unmasked,
54,IMG20260826123450.jpg,1,keep_connected,preprocessing/pycolmap_input/images/IMG20260826123450.jpg,unmasked,
55,IMG20260826123454.jpg,1,keep_connected,preprocessing/pycolmap_input/images/IMG20260826123454.jpg,unmasked,
56,IMG20260826123708.jpg,1,keep_connected,preprocessing/pycolmap_input/images/IMG20260826123708.jpg,unmasked,
57,IMG20260826123712.jpg,1,keep_connected,preprocessing/pycolmap_input/images/IMG20260826123712.jpg,unmasked,
58,IMG20260826123719.jpg,1,keep_connected,preprocessing/pycolmap_input/images/IMG20260826123719.jpg,unmasked,
59,IMG20260826123725.jpg,1,keep_connected,preprocessing/pycolmap_input/images/IMG20260826123725.jpg,unmasked,
60,IMG20260826123730.jpg,1,keep_connected,preprocessing/pycolmap_input/images/IMG20260826123730.jpg,unmasked,
61,IMG20260826123733.jpg,1,keep_connected,preprocessing/pycolmap_input/images/IMG20260826123733.jpg,unmasked,
62,IMG20260826123740.jpg,1,keep_connected,preprocessing/pycolmap_input/images/IMG20260826123740.jpg,unmasked,
63,IMG20260826123746.jpg,1,keep_connected,preprocessing/pycolmap_input/images/IMG20260826123746.jpg,unmasked,
64,IMG20260826123749.jpg,1,keep_connected,preprocessing/pycolmap_input/images/IMG20260826123749.jpg,unmasked,
65,IMG20260826123753.jpg,1,keep_connected,preprocessing/pycolmap_input/images/IMG20260826123753.jpg,unmasked,
66,IMG20260826123759.jpg,1,keep_connected,preprocessing/pycolmap_input/images/IMG20260826123759.jpg,unmasked,
67,IMG20260826123804.jpg,1,keep_connected,preprocessing/pycolmap_input/images/IMG20260826123804.jpg,unmasked,
68,IMG20260826123807.jpg,1,keep_connected,preprocessing/pycolmap_input/images/IMG20260826123807.jpg,unmasked,
69,IMG20260826123810.jpg,1,keep_connected,preprocessing/pycolmap_input/images/IMG20260826123810.jpg,unmasked,
70,IMG20260826123813.jpg,1,keep_connected,preprocessing/pycolmap_input/images/IMG20260826123813.jpg,unmasked,
71,IMG20260826123816.jpg,1,keep_connected,preprocessing/pycolmap_input/images/IMG20260826123816.jpg,unmasked,
72,IMG20260826123820.jpg,1,keep_connected,preprocessing/pycolmap_input/images/IMG20260826123820.jpg,unmasked,
73,IMG20260826123824.jpg,1,keep_connected,preprocessing/pycolmap_input/images/IMG20260826123824.jpg,unmasked,
74,IMG20260826124015.jpg,1,keep_connected,preprocessing/pycolmap_input/images/IMG20260826124015.jpg,unmasked,
75,IMG20260826124018.jpg,1,keep_connected,preprocessing/pycolmap_input/images/IMG20260826124018.jpg,unmasked,
76,IMG20260826124024.jpg,1,keep_connected,preprocessing/pycolmap_input/images/IMG20260826124024.jpg,unmasked,
77,IMG20260826124029.jpg,1,keep_connected,preprocessing/pycolmap_input/images/IMG20260826124029.jpg,unmasked,
78,IMG20260826124032.jpg,1,keep_connected,preprocessing/pycolmap_input/images/IMG20260826124032.jpg,unmasked,
79,IMG20260826124035.jpg,1,keep_connected,preprocessing/pycolmap_input/images/IMG20260826124035.jpg,unmasked,
80,IMG20260826124041.jpg,1,keep_connected,preprocessing/pycolmap_input/images/IMG20260826124041.jpg,unmasked,
81,IMG20260826124044.jpg,1,keep_connected,preprocessing/pycolmap_input/images/IMG20260826124044.jpg,unmasked,
82,IMG20260826124048.jpg,1,keep_connected,preprocessing/pycolmap_input/images/IMG20260826124048.jpg,unmasked,
83,IMG20260826124051.jpg,1,keep_connected,preprocessing/pycolmap_input/images/IMG20260826124051.jpg,unmasked,
84,IMG20260826124054.jpg,1,keep_connected,preprocessing/pycolmap_input/images/IMG20260826124054.jpg,unmasked,
85,IMG20260826124101.jpg,1,keep_connected,preprocessing/pycolmap_input/images/IMG20260826124101.jpg,unmasked,
86,IMG20260826124104.jpg,1,keep_connected,preprocessing/pycolmap_input/images/IMG20260826124104.jpg,unmasked,
87,IMG20260826124110.jpg,1,keep_connected,preprocessing/pycolmap_input/images/IMG20260826124110.jpg,unmasked,
88,IMG20260826124113.jpg,1,keep_connected,preprocessing/pycolmap_input/images/IMG20260826124113.jpg,unmasked,
89,IMG20260826124116.jpg,1,keep_connected,preprocessing/pycolmap_input/images/IMG20260826124116.jpg,unmasked,
90,IMG20260826124123.jpg,1,keep_connected,preprocessing/pycolmap_input/images/IMG20260826124123.jpg,unmasked,
