image_1,image_2,raw_keypoints_1,raw_keypoints_2,raw_good_matches,raw_inliers,raw_inlier_ratio,preprocessed_keypoints_1,preprocessed_keypoints_2,preprocessed_good_matches,preprocessed_inliers,preprocessed_inlier_ratio,pair_number,index_1,index_2
IMG20260826123052.jpg,IMG20260826123056.jpg,6599,6201,905,722,0.7977900552486188,6839,6375,958,704,0.7348643006263048,1,15,16
IMG20260826123408.jpg,IMG20260826123414.jpg,4447,4703,478,328,0.6861924686192469,4612,4842,505,335,0.6633663366336634,2,45,46
IMG20260826124018.jpg,IMG20260826124024.jpg,3793,3944,365,210,0.5753424657534246,4055,4149,362,211,0.5828729281767956,3,75,76
IMG20260826124234.jpg,IMG20260826124237.jpg,5181,5181,466,342,0.7339055793991416,5515,5494,497,350,0.704225352112676,4,105,106
IMG20260826124458.jpg,IMG20260826124501.jpg,4376,3986,468,270,0.5769230769230769,4618,4235,483,297,0.6149068322981367,5,135,136
IMG20260826125013.jpg,IMG20260826125016.jpg,4482,4496,451,254,0.5631929046563193,4653,4643,478,300,0.6276150627615062,6,165,166
IMG20260826125409.jpg,IMG20260826125412.jpg,4603,4716,272,143,0.5257352941176471,4768,4855,290,158,0.5448275862068965,7,195,196
IMG20260826125739.jpg,IMG20260826125741.jpg,4550,3934,228,76,0.3333333333333333,4663,4097,238,93,0.3907563025210084,8,225,226
IMG20260826130051.jpg,IMG20260826130053.jpg,1223,2133,49,17,0.3469387755102041,1233,2289,57,18,0.3157894736842105,9,255,256
IMG20260826130402.jpg,IMG20260826130404.jpg,4355,6590,61,14,0.22950819672131148,4741,7034,67,17,0.2537313432835821,10,280,281
