boundary,boundary_left,boundary_right,left_index,right_index,left_filename,right_filename,sequence_gap,raw_matches,verified_inliers,inlier_ratio,qualified,selected
73-74,73,74,34,75,IMG20260826123308.jpg,IMG20260826124018.jpg,41,0,0,0.0,0,0
73-74,73,74,34,76,IMG20260826123308.jpg,IMG20260826124024.jpg,42,0,0,0.0,0,0
73-74,73,74,34,77,IMG20260826123308.jpg,IMG20260826124029.jpg,43,16,0,0.0,0,0
73-74,73,74,34,78,IMG20260826123308.jpg,IMG20260826124032.jpg,44,0,0,0.0,0,0
73-74,73,74,34,79,IMG20260826123308.jpg,IMG20260826124035.jpg,45,0,0,0.0,0,0
73-74,73,74,34,80,IMG20260826123308.jpg,IMG20260826124041.jpg,46,0,0,0.0,0,0
73-74,73,74,34,81,IMG20260826123308.jpg,IMG20260826124044.jpg,47,0,0,0.0,0,0
73-74,73,74,34,82,IMG20260826123308.jpg,IMG20260826124048.jpg,48,0,0,0.0,0,0
73-74,73,74,34,83,IMG20260826123308.jpg,IMG20260826124051.jpg,49,0,0,0.0,0,0
73-74,73,74,34,84,IMG20260826123308.jpg,IMG20260826124054.jpg,50,0,0,0.0,0,0
73-74,73,74,34,85,IMG20260826123308.jpg,IMG20260826124101.jpg,51,16,0,0.0,0,0
73-74,73,74,34,86,IMG20260826123308.jpg,IMG20260826124104.jpg,52,0,0,0.0,0,0
73-74,73,74,34,87,IMG20260826123308.jpg,IMG20260826124110.jpg,53,15,0,0.0,0,0
73-74,73,74,34,88,IMG20260826123308.jpg,IMG20260826124113.jpg,54,0,0,0.0,0,0
73-74,73,74,34,89,IMG20260826123308.jpg,IMG20260826124116.jpg,55,0,0,0.0,0,0
73-74,73,74,34,90,IMG20260826123308.jpg,IMG20260826124123.jpg,56,0,0,0.0,0,0
73-74,73,74,34,91,IMG20260826123308.jpg,IMG20260826124128.jpg,57,0,0,0.0,0,0
73-74,73,74,34,92,IMG20260826123308.jpg,IMG20260826124132.jpg,58,0,0,0.0,0,0
73-74,73,74,34,93,IMG20260826123308.jpg,IMG20260826124140.jpg,59,0,0,0.0,0,0
73-74,73,74,34,94,IMG20260826123308.jpg,IMG20260826124143.jpg,60,0,0,0.0,0,0
73-74,73,74,34,95,IMG20260826123308.jpg,IMG20260826124146.jpg,61,15,0,0.0,0,0
73-74,73,74,34,96,IMG20260826123308.jpg,IMG20260826124148.jpg,62,0,0,0.0,0,0
73-74,73,74,34,97,IMG20260826123308.jpg,IMG20260826124151.jpg,63,0,0,0.0,0,0
73-74,73,74,34,98,IMG20260826123308.jpg,IMG20260826124156.jpg,64,0,0,0.0,0,0
73-74,73,74,34,99,IMG20260826123308.jpg,IMG20260826124159.jpg,65,0,0,0.0,0,0
73-74,73,74,34,100,IMG20260826123308.jpg,IMG20260826124201.jpg,66,0,0,0.0,0,0
73-74,73,74,34,101,IMG20260826123308.jpg,IMG20260826124204.jpg,67,0,0,0.0,0,0
73-74,73,74,34,102,IMG20260826123308.jpg,IMG20260826124210.jpg,68,0,0,0.0,0,0
73-74,73,74,34,103,IMG20260826123308.jpg,IMG20260826124214.jpg,69,0,0,0.0,0,0
73-74,73,74,34,104,IMG20260826123308.jpg,IMG20260826124218.jpg,70,17,0,0.0,0,0
73-74,73,74,34,105,IMG20260826123308.jpg,IMG20260826124234.jpg,71,0,0,0.0,0,0
73-74,73,74,34,106,IMG20260826123308.jpg,IMG20260826124237.jpg,72,0,0,0.0,0,0
73-74,73,74,34,107,IMG20260826123308.jpg,IMG20260826124240.jpg,73,0,0,0.0,0,0
73-74,73,74,34,108,IMG20260826123308.jpg,IMG20260826124243.jpg,74,0,0,0.0,0,0
73-74,73,74,34,109,IMG20260826123308.jpg,IMG20260826124248.jpg,75,0,0,0.0,0,0
73-74,73,74,34,110,IMG20260826123308.jpg,IMG20260826124305.jpg,76,22,0,0.0,0,0
73-74,73,74,34,111,IMG20260826123308.jpg,IMG20260826124308.jpg,77,18,0,0.0,0,0
73-74,73,74,34,112,IMG20260826123308.jpg,IMG20260826124313.jpg,78,23,0,0.0,0,0
73-74,73,74,34,113,IMG20260826123308.jpg,IMG20260826124317.jpg,79,24,0,0.0,0,0
73-74,73,74,35,76,IMG20260826123316.jpg,IMG20260826124024.jpg,41,0,0,0.0,0,0
73-74,73,74,35,77,IMG20260826123316.jpg,IMG20260826124029.jpg,42,0,0,0.0,0,0
73-74,73,74,35,78,IMG20260826123316.jpg,IMG20260826124032.jpg,43,0,0,0.0,0,0
