boundary,boundary_left,boundary_right,left_index,right_index,left_filename,right_filename,sequence_gap,raw_matches,verified_inliers,inlier_ratio,qualified,selected,frontend
73-74,73,74,34,75,IMG20260826123308.jpg,IMG20260826124018.jpg,41,59,32,0.5423728813559322,1,0,aliked_lightglue
73-74,73,74,34,76,IMG20260826123308.jpg,IMG20260826124024.jpg,42,71,26,0.36619718309859156,1,0,aliked_lightglue
73-74,73,74,34,77,IMG20260826123308.jpg,IMG20260826124029.jpg,43,51,25,0.49019607843137253,1,0,aliked_lightglue
73-74,73,74,34,78,IMG20260826123308.jpg,IMG20260826124032.jpg,44,63,26,0.4126984126984127,1,0,aliked_lightglue
73-74,73,74,34,79,IMG20260826123308.jpg,IMG20260826124035.jpg,45,113,44,0.3893805309734513,1,0,aliked_lightglue
73-74,73,74,34,80,IMG20260826123308.jpg,IMG20260826124041.jpg,46,79,43,0.5443037974683544,1,0,aliked_lightglue
73-74,73,74,34,81,IMG20260826123308.jpg,IMG20260826124044.jpg,47,152,86,0.5657894736842105,1,0,aliked_lightglue
73-74,73,74,34,82,IMG20260826123308.jpg,IMG20260826124048.jpg,48,86,48,0.5581395348837209,1,0,aliked_lightglue
73-74,73,74,34,83,IMG20260826123308.jpg,IMG20260826124051.jpg,49,98,43,0.4387755102040816,1,0,aliked_lightglue
73-74,73,74,34,84,IMG20260826123308.jpg,IMG20260826124054.jpg,50,94,51,0.5425531914893617,1,0,aliked_lightglue
73-74,73,74,34,85,IMG20260826123308.jpg,IMG20260826124101.jpg,51,160,62,0.3875,1,0,aliked_lightglue
73-74,73,74,34,86,IMG20260826123308.jpg,IMG20260826124104.jpg,52,212,96,0.4528301886792453,1,0,aliked_lightglue
73-74,73,74,34,87,IMG20260826123308.jpg,IMG20260826124110.jpg,53,142,86,0.6056338028169014,1,0,aliked_lightglue
73-74,73,74,34,88,IMG20260826123308.jpg,IMG20260826124113.jpg,54,179,68,0.37988826815642457,1,0,aliked_lightglue
73-74,73,74,34,89,IMG20260826123308.jpg,IMG20260826124116.jpg,55,80,33,0.4125,1,0,aliked_lightglue
73-74,73,74,34,90,IMG20260826123308.jpg,IMG20260826124123.jpg,56,67,35,0.5223880597014925,1,0,aliked_lightglue
73-74,73,74,34,91,IMG20260826123308.jpg,IMG20260826124128.jpg,57,47,21,0.44680851063829785,1,0,aliked_lightglue
73-74,73,74,34,92,IMG20260826123308.jpg,IMG20260826124132.jpg,58,112,38,0.3392857142857143,1,0,aliked_lightglue
73-74,73,74,34,93,IMG20260826123308.jpg,IMG20260826124140.jpg,59,69,18,0.2608695652173913,1,0,aliked_lightglue
73-74,73,74,34,94,IMG20260826123308.jpg,IMG20260826124143.jpg,60,121,56,0.4628099173553719,1,0,aliked_lightglue
73-74,73,74,34,95,IMG20260826123308.jpg,IMG20260826124146.jpg,61,140,73,0.5214285714285715,1,0,aliked_lightglue
73-74,73,74,34,96,IMG20260826123308.jpg,IMG20260826124148.jpg,62,117,65,0.5555555555555556,1,0,aliked_lightglue
73-74,73,74,34,97,IMG20260826123308.jpg,IMG20260826124151.jpg,63,129,67,0.5193798449612403,1,0,aliked_lightglue
73-74,73,74,34,98,IMG20260826123308.jpg,IMG20260826124156.jpg,64,132,53,0.4015151515151515,1,0,aliked_lightglue
73-74,73,74,34,99,IMG20260826123308.jpg,IMG20260826124159.jpg,65,243,108,0.4444444444444444,1,0,aliked_lightglue
